raceId,driverId,lap,position,time,milliseconds,constructor,constructorId,year,race,driverRef,lap_time
84,18,3,11,1:30.308,90308.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:30.308000
84,18,4,10,1:29.911,89911.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:29.911000
84,18,5,9,1:28.396,88396.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:28.396000
84,18,6,9,1:28.054,88054.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:28.054000
84,18,7,9,1:28.146,88146.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:28.146000
84,18,8,9,1:28.502,88502.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:28.502000
84,18,9,7,1:27.867,87867.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.867000
84,18,10,6,1:28.212,88212.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:28.212000
84,18,11,6,1:27.419,87419.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.419000
84,18,12,6,1:27.011,87011.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.011000
84,18,13,6,1:26.708,86708.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.708000
84,18,14,6,1:26.917,86917.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.917000
84,18,15,5,1:26.939,86939.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.939000
84,18,16,5,1:27.805,87805.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.805000
84,18,17,5,1:27.047,87047.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.047000
84,18,18,5,1:27.103,87103.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.103000
84,18,19,4,1:27.009,87009.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.009000
84,18,20,3,1:28.073,88073.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:28.073000
84,18,21,3,1:27.093,87093.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.093000
